airline,avail_seat_km_per_week,incidents_85_99,fatal_accidents_85_99,fatalities_85_99,incidents_00_14,fatal_accidents_00_14,fatalities_00_14,incidents_85_14,fatal_accidents_85_14,fatalities_85_14
Aer Lingus,320906734,2,0,0,0,0,0,2,0,0
Aeroflot*,1197672318,76,14,128,6,1,88,82,15,216
Aerolineas Argentinas,385803648,6,0,0,1,0,0,7,0,0
Aeromexico*,596871813,3,1,64,5,0,0,8,1,64
Air Canada,1865253802,2,0,0,2,0,0,4,0,0
Air France,3004002661,14,4,79,6,2,337,20,6,416
Air India*,869253552,2,1,329,4,1,158,6,2,487
Air New Zealand*,710174817,3,0,0,5,1,7,8,1,7
Alaska Airlines*,965346773,5,0,0,5,1,88,10,1,88
Alitalia,698012498,7,2,50,4,0,0,11,2,50
All Nippon Airways,1841234177,3,1,1,7,0,0,10,1,1
American*,5228357340,21,5,101,17,3,416,38,8,517
Austrian Airlines,358239823,1,0,0,1,0,0,2,0,0
Avianca,396922563,5,3,323,0,0,0,5,3,323
British Airways*,3179760952,4,0,0,6,0,0,10,0,0
Cathay Pacific*,2582459303,0,0,0,2,0,0,2,0,0
China Airlines,813216487,12,6,535,2,1,225,14,7,760
Condor,417982610,2,1,16,0,0,0,2,1,16
COPA,550491507,3,1,47,0,0,0,3,1,47
Delta / Northwest*,6525658894,24,12,407,24,2,51,48,14,458
Egyptair,557699891,8,3,282,4,1,14,12,4,296
El Al,335448023,1,1,4,1,0,0,2,1,4
Ethiopian Airlines,488560643,25,5,167,5,2,92,30,7,259
Finnair,506464950,1,0,0,0,0,0,1,0,0
Garuda Indonesia,613356665,10,3,260,4,2,22,14,5,282
Gulf Air,301379762,1,0,0,3,1,143,4,1,143
Hawaiian Airlines,493877795,0,0,0,1,0,0,1,0,0
Iberia,1173203126,4,1,148,5,0,0,9,1,148
Japan Airlines,1574217531,3,1,520,0,0,0,3,1,520
Kenya Airways,277414794,2,0,0,2,2,283,4,2,283
KLM*,1874561773,7,1,3,1,0,0,8,1,3
Korean Air,1734522605,12,5,425,1,0,0,13,5,425
LAN Airlines,1001965891,3,2,21,0,0,0,3,2,21
Lufthansa*,3426529504,6,1,2,3,0,0,9,1,2
Malaysia Airlines,1039171244,3,1,34,3,2,537,6,3,571
Pakistan International,348563137,8,3,234,10,2,46,18,5,280
Philippine Airlines,413007158,7,4,74,2,1,1,9,5,75
Qantas*,1917428984,1,0,0,5,0,0,6,0,0
Royal Air Maroc,295705339,5,3,51,3,0,0,8,3,51
SAS*,682971852,5,0,0,6,1,110,11,1,110
Saudi Arabian,859673901,7,2,313,11,0,0,18,2,313
Singapore Airlines,2376857805,2,2,6,2,1,83,4,3,89
South African,651502442,2,1,159,1,0,0,3,1,159
Southwest Airlines,3276525770,1,0,0,8,0,0,9,0,0
Sri Lankan / AirLanka,325582976,2,1,14,4,0,0,6,1,14
SWISS*,792601299,2,1,229,3,0,0,5,1,229
TACA,259373346,3,1,3,1,1,3,4,2,6
TAM,1509195646,8,3,98,7,2,188,15,5,286
TAP - Air Portugal,619130754,0,0,0,0,0,0,0,0,0
Thai Airways,1702802250,8,4,308,2,1,1,10,5,309
Turkish Airlines,1946098294,8,3,64,8,2,84,16,5,148
United / Continental*,7139291291,19,8,319,14,2,109,33,10,428
US Airways / America West*,2455687887,16,7,224,11,2,23,27,9,247
Vietnam Airlines,625084918,7,3,171,1,0,0,8,3,171
Virgin Atlantic,1005248585,1,0,0,0,0,0,1,0,0
Xiamen Airlines,430462962,9,1,82,2,0,0,11,1,82
